Time,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64
28.8,130,155,206,267,406,583,670,688,663,642,603,552,492,442,391,340,297,264,223,196,173,159,142,131,129,100,63,22,11,11,6,12,9,9,12,6,12,9,9,10,11,6,12,9,12,6,13,12,12,12,16,10,20,18,22,21,28,46,43,57,76,99,96,1
28.805,47,127,208,335,454,586,658,706,647,640,611,547,472,439,432,315,294,261,243,185,176,165,130,134,128,101,59,28,9,6,14,7,7,11,15,9,6,7,10,13,12,6,6,12,14,8,7,6,17,16,8,13,17,16,17,27,20,30,38,52,53,84,100,85
28.81,235,236,262,402,449,508,654,747,668,660,648,508,481,441,391,350,298,247,231,208,169,152,157,133,109,94,68,26,13,5,8,10,12,5,8,12,16,5,7,4,15,16,6,4,7,15,16,4,8,16,15,11,9,17,17,19,23,25,30,43,54,52,77,79
28.815,290,345,307,400,537,530,721,806,639,604,574,564,501,430,395,350,278,248,251,205,173,162,140,139,106,90,66,31,10,8,5,10,10,9,9,4,14,15,9,5,6,12,14,10,5,5,14,15,8,7,11,18,13,8,16,21,15,25,27,33,39,51,65,54
28.82,221,370,463,628,470,469,640,811,763,646,612,483,427,484,410,340,286,275,234,192,175,172,139,133,116,85,65,28,12,4,8,5,10,12,8,5,7,17,15,3,5,6,16,17,4,3,5,20,15,4,4,17,20,7,11,20,18,16,24,26,38,44,44,50
28.825,204,340,519,610,670,554,665,760,743,680,595,465,429,429,445,367,291,253,237,193,184,166,157,136,103,72,61,37,12,7,4,9,8,7,9,10,6,10,13,13,9,4,6,13,14,9,5,7,14,13,8,9,13,16,13,9,19,18,18,25,25,31,54,29
28.83,116,315,482,702,838,622,699,811,773,565,490,514,475,420,404,354,330,277,211,191,181,178,170,125,108,78,55,33,11,8,9,5,7,11,7,9,7,7,11,16,9,6,4,10,16,10,7,5,11,15,10,8,8,15,15,10,14,18,17,20,24,30,31,36
28.835,115,234,455,804,931,726,680,677,718,728,563,505,444,405,407,356,311,260,237,198,190,177,158,124,98,76,49,35,15,11,5,8,5,9,11,6,8,7,9,12,12,11,6,6,11,13,11,6,7,9,15,12,8,7,13,17,13,12,17,16,20,23,37,22
28.84,134,183,419,889,1027,754,593,709,743,660,595,520,442,396,415,373,313,253,244,209,194,185,144,125,106,68,49,29,18,9,8,7,9,3,11,9,10,7,8,7,7,15,14,4,6,7,17,12,6,5,11,12,14,8,8,12,15,15,12,21,14,18,26,25
28.845,86,175,410,911,1132,727,650,663,796,748,526,487,448,438,384,386,334,280,235,207,196,167,142,115,92,68,49,31,18,10,11,9,5,7,8,8,10,12,4,7,9,9,15,10,8,7,9,10,11,10,7,8,12,15,8,10,12,13,15,13,13,16,30,12
28.85,62,132,349,754,1297,903,696,716,801,667,538,488,436,431,375,366,329,292,236,205,208,173,134,113,96,64,49,31,18,11,15,9,6,6,8,7,5,13,8,10,7,9,7,8,16,8,9,7,8,13,9,9,8,9,15,12,10,10,12,14,13,14,19,22
